PosX,PosY,LKHD DIST,lookAheadX,lookAheadY,left,right,ONLAST,INDEX,VEL
-42.5598,47.9412,10,-52.5457,47.4103,46.6514,50.0343,0,104,10.1249
-42.9646,47.931,10,-52.948,47.3561,46.5323,50.1534,0,104,10.1249
-43.3693,47.9198,10,-53.3496,47.2919,46.3711,50.3146,0,104,10.1249
-43.7741,47.9076,10,-53.7509,47.2278,46.2294,50.4564,0,104,10.1249
-44.1788,47.8942,10,-54.1511,47.1511,43.9692,48.383,0,105,9.6711
-44.5653,47.8803,10,-54.533,47.0776,43.8093,48.5429,0,105,9.6711
-44.9518,47.8651,10,-54.9134,46.9897,43.5878,48.7644,0,105,9.6711
-45.3382,47.8486,10,-55.293,46.8992,43.3767,48.9755,0,105,9.6711
-45.7245,47.8306,10,-55.6706,46.7937,41.1081,46.963,0,106,9.22279
-46.0929,47.812,10,-56.0291,46.6842,40.8415,47.2296,0,106,9.22279
-46.4612,47.7918,10,-56.3855,46.5636,40.5433,47.5279,0,106,9.22279
-46.8294,47.7699,10,-56.738,46.4214,38.234,45.6115,0,107,8.78028
-47.1798,47.7473,10,-57.0701,46.2702,37.8407,46.0048,0,107,8.78028
-47.5301,47.7228,10,-57.3971,46.0975,37.3743,46.4711,0,107,8.78028
-47.8802,47.6961,10,-57.7162,45.8924,36.7854,47.0601,0,107,8.78028
-48.2302,47.6671,10,-58.0219,45.6368,34.2009,45.4773,0,108,8.34388
-48.5625,47.6371,10,-58.2902,45.3194,33.1782,46.5,0,108,8.34388
-48.8946,47.6042,10,-58.5151,44.8755,31.6113,48.0668,0,108,8.34388
-49.2263,47.5678,10,-58.5513,43.9562,27.7974,51.8807,0,108,8.34388
-49.5574,47.5268,10,-53.8832,38.5108,-0.16551,75.7383,0,109,7.91396
-49.87,47.477,10,-53.4256,38.1304,-0.91287,76.4856,0,109,7.91396
-50.1794,47.4104,10,-53.0625,37.8351,-1.30972,76.8825,0,109,7.91396
-50.4848,47.3273,10,-52.7604,37.5896,-1.41905,72.9521,0,110,7.49092
-50.7692,47.2332,10,-52.5037,37.3848,-1.49019,73.0232,0,110,7.49092
-51.0484,47.1246,10,-52.2717,37.1997,-1.48341,73.0164,0,110,7.49092
-51.3215,47.0015,10,-52.0572,37.0286,-1.4195,72.9525,0,110,7.49092
-51.5879,46.8645,10,-51.8527,36.868,-1.24393,68.8073,0,111,7.07522
-51.8327,46.7225,10,-51.6692,36.7239,-1.11942,68.6828,0,111,7.07522
-52.0703,46.5688,10,-51.493,36.5854,-0.96753,68.5309,0,111,7.07522
-52.3,46.4037,10,-51.3226,36.4516,-0.79188,68.3552,0,111,7.07522
-52.5216,46.2277,10,-51.1549,36.3215,-0.56397,64.2325,0,112,6.66736
-52.7224,46.0522,10,-51.0004,36.2016,-0.37511,64.0437,0,112,6.66736
-52.9151,45.8679,10,-50.8485,36.0838,-0.17082,63.8394,0,112,6.66736
-53.0993,45.6751,10,-50.6987,35.9675,0.04518,59.8088,0,113,6.2679
-53.2645,45.4866,10,-50.5594,35.8594,0.25023,59.6037,0,113,6.2679
-53.4217,45.2914,10,-50.4202,35.7525,0.46416,59.3898,0,113,6.2679
