PosX,PosY,LKHD DIST,lookAheadX,lookAheadY,left,right,ONLAST,INDEX,VEL
33.3321,25.6014,10,42.5209,29.5468,48.8783,77.0832,0,13,13.1907
33.846,25.7205,10,42.9285,29.9047,48.3989,77.5625,0,13,13.1907
34.3574,25.8498,10,43.2795,30.366,47.177,78.7844,0,13,13.1907
34.866,25.99,10,43.6099,30.8422,45.9984,79.9631,0,13,13.1907
35.3712,26.1418,10,43.9332,31.3082,45.0714,80.89,0,13,13.1907
35.8726,26.3058,10,44.2505,31.7656,41.7514,76.7896,0,14,12.4136
36.3405,26.4718,10,44.5446,32.1895,41.2938,77.2472,0,14,12.4136
36.8041,26.6493,10,44.8349,32.608,40.9784,77.5626,0,14,12.4136
37.2631,26.8385,10,45.1115,33.0354,40.6711,77.8699,0,14,12.4136
37.717,27.0395,10,45.3147,33.5414,39.7446,78.7964,0,14,12.4136
38.1655,27.2524,10,45.5132,34.0356,39.0365,79.5045,0,14,12.4136
38.6078,27.4778,10,45.7077,34.5199,38.5187,80.0223,0,14,12.4136
39.0436,27.7157,10,45.8989,34.996,35.6649,75.1041,0,15,11.5997
39.4443,27.9494,10,46.0752,35.4348,35.4823,75.2867,0,15,11.5997
39.8384,28.1941,10,46.2494,35.8686,35.4049,75.3641,0,15,11.5997
40.2256,28.4496,10,46.4221,36.2984,35.421,75.348,0,15,11.5997
40.6054,28.7159,10,46.5933,36.7249,35.5203,75.2487,0,15,11.5997
40.9778,28.9926,10,46.7164,37.1821,35.3272,75.4417,0,15,11.5997
41.3423,29.2796,10,46.8106,37.652,35.0339,75.7351,0,15,11.5997
41.6985,29.5768,10,46.9035,38.1153,32.1623,70.0312,0,16,10.7017
42.0195,29.8598,10,46.9883,38.538,32.1033,70.0902,0,16,10.7017
42.3329,30.1513,10,47.0723,38.9569,32.1192,70.0744,0,16,10.7017
42.6385,30.4509,10,47.1556,39.3726,32.2021,69.9914,0,16,10.7017
42.936,30.7586,10,47.2385,39.7857,32.3453,69.8482,0,16,10.7017
43.2254,31.0739,10,47.3209,40.1968,32.5425,69.6511,0,16,10.7017
43.5065,31.3967,10,47.403,40.6063,32.788,69.4055,0,16,10.7017
43.7791,31.7266,10,47.4849,41.0146,29.7543,62.1741,0,17,9.62673
44.0172,32.0291,10,47.5584,41.3811,30.0168,61.9117,0,17,9.62673
44.2484,32.337,10,47.6318,41.7472,30.3044,61.6241,0,17,9.62673
44.4727,32.6499,10,47.6677,42.1257,30.4053,61.5232,1,17,9.62673
44.6902,32.9675,10,48,48,15.047,76.8814,1,17,9.62673
44.8973,33.2921,10,48,48,18.4417,73.4868,1,17,9.62673
45.0909,33.6249,10,48,48,21.4254,70.5031,1,17,9.62673
45.2724,33.9644,10,48,48,24.0435,67.8849,1,17,9.62673
45.4427,34.3097,10,48,48,26.3392,65.5893,1,17,9.62673
45.603,34.6597,10,48,48,28.3519,63.5766,1,17,9.62673
45.7541,35.0139,10,48,48,25.6779,52.7001,1,18,8.20773
45.8763,35.3185,10,48,48,26.8066,51.5714,1,18,8.20773
45.993,35.6253,10,48,48,27.8181,50.5599,1,18,8.20773
46.1046,35.934,10,48,48,28.7255,49.6525,1,18,8.20773
46.2115,36.2443,10,48,48,29.5403,48.8377,1,18,8.20773
46.314,36.5562,10,48,48,30.2727,48.1053,1,18,8.20773
46.4125,36.8693,10,48,48,30.9317,47.4463,1,18,8.20773
46.5072,37.1836,10,48,48,31.5253,46.8527,1,18,8.20773
46.5984,37.4989,10,48,48,32.0607,46.3173,1,18,8.20773
46.6864,37.8151,10,48,48,32.544,45.834,1,18,8.20773
46.7713,38.1322,10,48,48,32.9809,45.3971,1,18,8.20773
46.8534,38.45,10,48,48,33.3761,45.0019,1,18,8.20773
46.9328,38.7685,10,48,48,33.7341,44.6439,1,18,8.20773
47.0097,39.0876,10,48,48,34.0585,44.3195,1,18,8.20773
47.0842,39.4073,10,48,48,25.4489,32.6142,1,19,6.08036
47.138,39.6445,10,48,48,25.5963,32.4668,1,19,6.08036
47.1906,39.8819,10,48,48,25.7337,32.3294,1,19,6.08036
47.2421,40.1195,10,48,48,25.8618,32.2013,1,19,6.08036
47.2925,40.3574,10,48,48,25.9812,32.0819,1,19,6.08036
47.3419,40.5955,10,48,48,26.0925,31.9706,1,19,6.08036
47.3903,40.8338,10,48,48,26.1964,31.8667,1,19,6.08036
47.4377,41.0723,10,48,48,26.2932,31.7698,1,19,6.08036
47.4842,41.311,10,48,48,26.3836,31.6795,1,19,6.08036
47.5298,41.5499,10,48,48,26.4679,31.5952,1,19,6.08036
47.5745,41.7889,10,48,48,26.5465,31.5166,1,19,6.08036
47.6184,42.028,10,48,48,26.6198,31.4433,1,19,6.08036
47.6615,42.2674,10,48,48,26.6881,31.375,1,19,6.08036
47.7038,42.5068,10,48,48,26.7518,31.3113,1,19,6.08036
47.7453,42.7464,10,48,48,26.811,31.2521,1,19,6.08036
47.786,42.9862,10,48,48,26.8661,31.197,1,19,6.08036
47.826,43.226,10,48,48,26.9172,31.1459,1,19,6.08036
47.8653,43.466,10,48,48,26.9647,31.0984,1,19,6.08036
47.9039,43.7061,10,48,48,27.0087,31.0544,1,19,6.08036
47.9419,43.9463,10,48,48,27.0494,31.0137,1,19,6.08036
47.9791,44.1866,10,48,48,27.0869,30.9762,1,19,6.08036
48.0157,44.427,10,48,48,27.1214,30.9417,1,19,6.08036
48.0516,44.6675,10,48,48,27.1531,30.91,1,19,6.08036
48.0869,44.9081,10,48,48,27.1821,30.8811,1,19,6.08036
48.1216,45.1487,1,47.7854,44.2069,-0,0,0,20,0
48.1216,45.1487,1,47.7854,44.2069,-0,0,0,20,0
48.1216,45.1487,1,47.7854,44.2069,-0,0,0,20,0
48.1216,45.1487,1,47.7854,44.2069,-0,0,0,20,0
48.1216,45.1487,1,47.7854,44.2069,-0,0,0,20,0
48.1216,45.1487,1,47.7854,44.2069,-0,0,0,20,0
48.1216,45.1487,1,47.7854,44.2069,-0,0,0,20,0
48.1216,45.1487,1,47.7854,44.2069,-0,0,0,20,0
48.1216,45.1487,1,47.7854,44.2069,-0,0,0,20,0
48.1216,45.1487,1,47.7854,44.2069,-0,0,0,20,0
48.1216,45.1487,1,47.7854,44.2069,-0,0,0,20,0
48.1216,45.1487,1,47.7854,44.2069,-0,0,0,20,0
48.1216,45.1487,1,47.7854,44.2069,-0,0,0,20,0
48.1216,45.1487,1,47.7854,44.2069,-0,0,0,20,0
